"IBM.open"	"IBM.high"	"IBM.low"	"IBM.close"	"IBM.adjclose"	"IBM.volume"
"227"	104.260002	105.150002	101.720001	101.970001	73.662102	7340700
"228"	102.699997	104.580002	101.5	103.830002	75.005775	9117500
"229"	104.82	108.269997	104.360001	107.370003	77.563011	9397700
"230"	107.239998	107.870003	106.25	107.5	77.656937	7813800
"231"	108.57	109.190002	103.93	105.18	75.980965	12900200
"232"	105.550003	107.139999	104.580002	105.830002	76.450546	7918800
"233"	105.410004	107.419998	104.720001	106.629997	77.028442	6361800
"234"	107.830002	108.519997	106.980003	108.160004	78.133698	6090400
"235"	108	110	107.93	109.699997	79.246193	5315500
"236"	109.68	110	107.949997	108.860001	78.639404	5985500
"237"	109.379997	110.260002	109	109.389999	79.022255	4442200
"238"	109.339996	110.400002	106.459999	106.989998	77.28849	8439700
"239"	109.169998	110.199997	107.379997	108.470001	78.357651	7879800
"240"	108	108.639999	106.940002	108.18	78.148155	6252800
"241"	107.309998	107.559998	104.099998	105.769997	76.407188	9711200
"242"	105.370003	105.989998	104	104.529999	75.511436	7131100
"243"	105.080002	106.970001	104.129997	106.309998	76.797272	8042000
"244"	106.540001	108.379997	105.870003	107.139999	77.396866	7031100
"245"	107.779999	109.489998	107.610001	108.839996	78.624931	8030900
"246"	109.900002	111.160004	109.150002	111.050003	80.221405	13246600
"247"	111.199997	112	110.550003	111.650002	80.654854	2342400
"248"	110.900002	112.190002	110.900002	111.559998	80.589859	3849400
"249"	110.529999	111.300003	109.489998	109.599998	79.173965	4513600
"250"	110.760002	110.760002	109.110001	110.089996	79.527916	5834500
"251"	109.510002	110	107.260002	108.099998	78.090363	5732300
"252"	108.989998	108.989998	104.169998	104.690002	75.626999	9503500
"253"	104.830002	105.57	103.980003	104.900002	75.778725	7528900
"254"	103.949997	103.949997	100.480003	101.129997	73.055305	11034600
"255"	100.25	101	99.029999	100.050003	72.275131	12650400
"256"	100.050003	100.379997	97.169998	97.589996	70.498016	9434400
"257"	97.760002	99.150002	97.160004	98.309998	71.018166	10922100
"258"	97.389999	100.860001	97.150002	99.919998	72.181206	10634700
"259"	99.199997	99.459999	97.040001	97.669998	70.555824	8959900
"260"	105.010002	105.589996	101.330002	102.93	74.355606	18009400
"261"	102.029999	104.639999	101.230003	101.830002	73.560974	11629500
"262"	100.139999	102.860001	100.139999	101.629997	73.416466	12681700
"263"	102	103.449997	100.050003	101.099998	73.033615	11934000
"264"	106.720001	106.720001	102.5	103.400002	74.695137	23871700
"265"	98.550003	103.089996	98.550003	101.220001	73.120316	15129500
"266"	99.629997	106.339996	98.5	106.099998	76.645569	19588100
"267"	106.379997	107.510002	104.68	106.910004	77.230705	13025700
"268"	107.790001	107.790001	104.099998	104.519997	75.504189	10025400
"269"	104.440002	105.769997	103.830002	104.980003	75.836525	7858500
"270"	105.5	106.800003	104.599998	106.099998	76.645569	6616200
